effect,group,term,estimate,std.error,p.value,metric,model,n_ts,formula,REML,bobyqa
fixed,NA,year_scaled,0.0025316201873459812,0.06312407346130335,0.9728372263700542,CWM_offspring_size_max_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__(Intercept),0.1783309431003333,NA,NA,CWM_offspring_size_max_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,-0.9999999975490416,NA,NA,CWM_offspring_size_max_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__year_scaled,0.0730069699869834,NA,NA,CWM_offspring_size_max_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__(Intercept),3.841276640133311e-5,NA,NA,CWM_offspring_size_max_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,cor__(Intercept).year_scaled,-1,NA,NA,CWM_offspring_size_max_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__year_scaled,2.4274305964394874e-5,NA,NA,CWM_offspring_size_max_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,Residual,sd__Observation,0.13932085076703743,NA,NA,CWM_offspring_size_max_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,(Intercept),0.9701452533121362,0.13113686535339708,0.03540154512530187,CWM_offspring_size_min_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
fixed,NA,year_scaled,0.014910806414828861,0.05726227941352723,0.8490128097772385,CWM_offspring_size_min_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__(Intercept),0.151384273225026,NA,NA,CWM_offspring_size_min_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,cor__(Intercept).year_scaled,-1,NA,NA,CWM_offspring_size_min_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,rarefyID:study_id,sd__year_scaled,0.04572614626141232,NA,NA,CWM_offspring_size_min_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__(Intercept),0.18340102049965457,NA,NA,CWM_offspring_size_min_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,cor__(Intercept).year_scaled,-0.9999999823858613,NA,NA,CWM_offspring_size_min_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,study_id,sd__year_scaled,0.032937156921091525,NA,NA,CWM_offspring_size_min_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
ran_pars,Residual,sd__Observation,0.15042081270482802,NA,NA,CWM_offspring_size_min_mm,,11,logvalue ~ year_scaled + (year_scaled|study_id/rarefyID),TRUE,FALSE
